;;;;;;;;;;;;;;x,,,
reapers_rise_title;La Renaixença;;;;;;;;;;;;;x
reapers_rise_desc;The Crown of Aragón is free once more. Centuries of Spanish Rule have come to an end and it's time to decide the future course of our new nation.;;;;;;;;;;;;;x
rigan_future_title;The Future of Riga;;;;;;;;;;;;;x
rigan_future_desc;The Baltenland is no more. The Lithuanians and Livonians have dismantled the prosperous League and left us limited to the city of Riga. While we take a part of the blame, the lack of aid from our Hanseatic 'Allies' is also a major reason for this outcome. Either way, it is time to pick a future course for our young republic.;;;;;;;;;;;;;x
form_tajikistan_native_title;Unite the Tajiks;;;;;;;;;;;;;x
form_tajikistan_native_desc;The regions of Bactria, Sogdia and Chorasmia have been divided for too long. Ever since the Mongols invaded our lands have been ruled by foreigners or warlords, destroying our ancient heritage and culture. The time has come for the Tajiks to restore order and unite under one banner to preserve our independence and become a defender of Persian culture in central asia!;;;;;;;;;;;;;x
form_tajik_empire_title;The Chorasmid Empire;;;;;;;;;;;;;x
form_tajik_empire_desc;Iran has fallen into anarchy. The collapse of the Afsharids has led to the rise of various pretenders across the whole empire, leaving us weak to foreign invaders. It is clear that none of these warlords has the means to reunite the whole of Iran so it comes down to us, the heirs of Khwarazm to march south and return order to the land. A new dynasty shall rise from the north, a new Chorasmid Empire!;;;;;;;;;;;;;x
al_biruni_university_unciv_title;The al-Biruni University;;;;;;;;;;;;;x
al_biruni_university_unciv_desc;Abu Rayhan al-Biruni was an Iranian scholar and polymath during the Islamic Golden Age. He has been variously called as the "founder of Indology", "Father of Comparative Religion", "Father of modern geodesy", and the first anthropologist. Our ownership over his ancestral homeland of Chorasmia gives us the unique option to dedicate a university to his great name and which would be the first of its kind in all of greater Iran.;;;;;;;;;;;;;x
al_biruni_university_civ_title;The al-Biruni University;;;;;;;;;;;;;x
al_biruni_university_civ_desc;Abu Rayhan al-Biruni was an Iranian scholar and polymath during the Islamic Golden Age. He has been variously called as the "founder of Indology", "Father of Comparative Religion", "Father of modern geodesy", and the first anthropologist. Our ownership over his ancestral homeland of Chorasmia gives us the unique option to dedicate a university to his great name and which would be the first of its kind in all of greater Iran.;;;;;;;;;;;;;x
the_magyars_flee_title;The Great Magyar Migration;;;;;;;;;;;;;x
the_magyars_flee_desc;Repeated attacks by the Russians in the past have proved unsuccessful and while they never managed to fully subjugate us, their campaigns and acts of terror have left much of the wider Kazan area devastated. It becomes clear that the area is no longer a viable homeland and many of our kinsmen have already left for good. We shall follow them south into a new homeland, away from the ever growing russian tsardom.;;;;;;;;;;;;;x
the_green_khan_title;The Zöld Khan;;;;;;;;;;;;;x
the_green_khan_desc;Under the leadership of the Green Khan we have finally managed to escape the russians and settle in a new homeland around the crimean lands. But our land is small and we will have to expand if we want to build ourselves a truly modern nation. We will have to reconcile with the poles and learn from them if we want to survive in this new environment and persist into the modern age.;;;;;;;;;;;;;x
aachen_reforms_francia_title;Charlemagne's Empire;;;;;;;;;;;;;x
aachen_reforms_francia_desc;So many centuries have passed since the grand empire was dissolved. The Franks have been divided and forgotten. The realm that gave birth to the nations of the Germans, French and Italians seems like a distant memory now. But Aachen still remains. From the homeland of the old Franks, we shall once more unite all of europe under one banner, once more reform the Kingdom of the Franks. Regnum Francorum Aeterna!;;;;;;;;;;;;;x
lander_reform_title;Bundeslandreform;;;;;;;;;;;;;x
lander_reform_desc;The Bundeslandreform, or "Federal Country Reform", was proposed in the aftermath of the Belgian Revolution in an attempt to reform the administration of the Empire. It is clear that we have lost control in a lot of regions, causing anarchy and revolutionary ideals to spread like wildfires. If we want to keep the empire together, we will have to reassert our authority across the entire realm - by establishing federal countries that are ruled directly by our bureaucrats we will take a decent first step towards centralizing the empire.;;;;;;;;;;;;;x
yue_occupies_guangxi_title;Occupy Guangxi;;;;;;;;;;;;;x
yue_occupies_guangxi_desc;The Zhou Emperor is weak. Earthquakes, floodings, raids and invasions, inability to defeat the Ming - all of these are signs that the Zhou Mandate is illegitimate. Let us show to the other feudatories that indeed, the Zhou can do nothing to oppose their enemies!;;;;;;;;;;;;;x
yue_reforms_lingnan_proposal_title;The Lingnan Proposal;;;;;;;;;;;;;x
yue_reforms_lingnan_proposal_desc;The feudatory of Jiaozhi occupies the territory of northern Yuenan, a territory that was historically closely connected to the lands of the Pearl River. Oh how long has it been since the days of Nanyue, how long have the lands of Lingnan been divided. It is time to reform our ancient state!;;;;;;;;;;;;;x
yue_becomes_yue_title;Form the Great Yue Dynasty;;;;;;;;;;;;;x
yue_becomes_yue_desc;The Zhou have fallen. Their Mandate is illegitimate. China is on the brink of civil strife and conflict, a new Manchu state is threatening to conquer all of the Middle Kingdom. The Zhou will not be able to defend it, but we will. Long live the Great Yue!;;;;;;;;;;;;;x
move_cap_to_vienna_title;Towards Vienna;;;;;;;;;;;;;x
move_cap_to_vienna_desc;While Graz has been the capital of Styria for the past two centuries, it is relatively small and undeveloped compared to Vienna. Due to its strategic location on the Danube and the generous development by both the Babenberger and Habsburger Houses, the city is one of the largest within the Holy Roman Empire. Thus we should relocate court and government to Vienna and solidify our rule over the Austrian Duchy.;;;;;;;;;;;;;x
relocate_back_to_conpol_title;Relocate back to Qenstantanwpewl;;;;;;;;;;;;;x
relocate_back_to_conpol_desc;With the Ionian Revolt put down we should now move the court and government back to Qenstantanwpewl due to its strategic location.;;;;;;;;;;;;;x
ana_sultan_reforms_title;The Shah's Reform;;;;;;;;;;;;;x
ana_sultan_reforms_desc;The recent revolts have shown us that that our Sultanate is rotten to the core. As a result, the Shah has summoned the highest state officials and initiated a series of reforms that aim at modernizing the Ruman Sultanate. The first wave of reforms shall be aimed at creating a new identity from the ground up, embrace our Anatolian heritage and reform our administration to more effectively administer our territories.;;;;;;;;;;;;;x
seize_macedonia_title;Seize Macedonia;;;;;;;;;;;;;x
seize_macedonia_desc;The ancient region of Macedon to our north-west has been cut off from the rest of the Sultanate. We must seize the oppertunity and take control of the area by all means necessary!;;;;;;;;;;;;;x
brit_centralization_act_title;The Second Centralization Act;;;;;;;;;;;;;x
brit_centralization_act_desc;The Centralization Act was first proposed in 1787 and attempted to end the autonomy for the various dukes in Prydain. While largely implenented, the Duke of Brynaich, due to his history as King of the former Northumbria and his connection to the Kingdom of Ystrad Clud, has been excluded from the first bill along with the British overseas territory of Iwerddon. However, as the industrialization progresses, the more obselete do these titles become. We must remove these archaic feudal structures once and for all.;;;;;;;;;;;;;x
invite_liege_into_usn_title;Invite Liége;;;;;;;;;;;;;x
invite_liege_into_usn_desc;The Republic of Liége was the first in the Netherlands to overthrow the Imperial yoke. Wasn't it for these brave republicans, much of the netherlands would still be under the rule of Munich. Now that we have followed their example and established a federation of republics, it only makes sense to invite them into the union.;;;;;;;;;;;;;x
invite_brabant_into_usn_title;Invite Brabant;;;;;;;;;;;;;x
invite_brabant_into_usn_desc;While the Duchy of Brabant may be a monarchy, its rulers have shown in the past they have embraced the ideals of the enlightenment. Furthermore, unlike many other kingdoms and duchies within the empire, the brabantians have their own written constitution and have shown great support for the liberals of our age, granting them asylum in these dire times. With enough pressure, we can "motivate" them to join our federation and promise them a certain degree of autonomy within the union.;;;;;;;;;;;;;x
invite_holland_into_usn_title;Invite Holland;;;;;;;;;;;;;x
invite_holland_into_usn_desc;Many would regard Holland as the birthplace of the netherlandish identity. Its vast colonial holdings and strong economy have brought them great wealth and luxury while many other areas of the netherlands have been under the feudal yoke of the nobility and clergy. The merchants of Holland have undermined the dukes to such a degree that, indeed, many would consider Holland to be the first republic of the netherlands. As part of the Hanseatic League, Holland did not have to fear any serious response from the emperor in munich. However, with their secession from the League, they are now vulnerable to reactionaries and  it only makes sense to offer them our protection within the union to mutually aid each other in these dire times.;;;;;;;;;;;;;x
invite_utrecht_into_usn_title;Invite Utrecht;;;;;;;;;;;;;x
invite_utrecht_into_usn_desc;Utrecht, like many other territories within the empire, has come under the direct rule of the emperor a long time ago. As part of the United Territories of Berg-Jülich-Kleve-Utrecht, they have developed a strong distaste of the Rhenish and Bavarians and would eagerly join our union to secure their newly won independence.;;;;;;;;;;;;;x
form_the_usn_title;De Verenigde Nederlandse Staten;;;;;;;;;;;;;x
form_the_usn_desc;The Imperial Netherlands have collapsed. Instead various de-facto independent republics have emerged, all with the same goal of spreading the ideals of the Spanish Revolution. However, divided we are weak and it's unlikely that we will survive too long on our own. We should put forth a proposal to the others to join a federation of the low countries, a vanguard that shall lead the liberal and like-minded states of the empire towards a unified German state free of Emperors and Kings!;;;;;;;;;;;;;x
restore_jerusalem_title;The Kingdom of Jerusalem;;;;;;;;;;;;;x
restore_jerusalem_desc;Five centuries have passed since we were driven out of the Holy Land. Five centuries of humiliation for all of Christianity. While many have come to recognize the muslim rule over the Holy City, we have not. Jerusalem shall once more be in christian hands, once more shall the holy banner fly above the city. The Kingdom of Jerusalem is eternal for God wills it!;;;;;;;;;;;;;x
mon_claims_burma_title;The Road to Ava;;;;;;;;;;;;;x
mon_claims_burma_desc;The Irrawaddy River Valley stands divided as ever. Since the collapse of the ancient Pagan Empire, city states rose and fell, all unable to reunite the once grand empire. While the idea of a unified irrawaddy state appears jingoist these days, without a united state the various irrawaddy kingdoms will fall to foreign powers one by one. We must claim the valley and bring Ava under our rule and then unite the rest of the country!;;;;;;;;;;;;;x
mon_claims_thailand_title;Reclaim our Homeland;;;;;;;;;;;;;x
mon_claims_thailand_desc;The loss of our northern frontier has proven that we will never be able to unite the irrawaddy valley. However, instead of trying to establish a new homeland in the north, we can look towards our old homeland in the east - we must drive out the Thai invaders and re-estblish ourselves in Dvaravati to ensure the survival of the mon nation!;;;;;;;;;;;;;x
claim_irrawady_delta_title;Claim the Irrawaddy Delta;;;;;;;;;;;;;x
claim_irrawady_delta_desc;The pity Monic state of Hanthawaddy to our south is a shell of its former self. A puppet to French influence, it is a potential danger to our survival if we do not eliminate it soon. We must bring the entire Irrawaddy under our rule, reclaim the coastal lands and then go on and unite the rest of the country under the Bamar flag!;;;;;;;;;;;;;x
form_burma_title;Form the Irrawaddy Nation;;;;;;;;;;;;;x
form_burma_desc;The Irrawaddy Nation is ethnically quite diverse. While the Bamars dominate the North, the Mons domiante the South and the Thais the East. Putting a single people in charge of it all is by far not the wisest move to ensure long-lasting stability. We must unite all these peoples under the flag of an anti-imperialist irrawaddy nation if we ever desire to maintain our beloved independence!;;;;;;;;;;;;;x
pnj_save_the_burning_world_title;Save the Burning World;;;;;;;;;;;;;x
pnj_save_the_burning_world_desc;Consumed by greed the world is burning and dying - while burning, it cries in agony. If it meets with the soothing Lord, it will not burn any more. O Nanak, without Naam and without contemplating the Word, one cannot become fearless. It is our duty to spread the word and extinguish the flames that consume our beloved world!;;;;;;;;;;;;;x
reform_lan_xang_title;Reform Lan Xang;;;;;;;;;;;;;x
reform_lan_xang_desc;The Laotian Kingdom of Lan Xang has existed from 1353–1707 and marked an era of peace and property in the region. However, succession disputes, peasant uprisings and warfare with its neighbours have increasingly destabilized the kingdom over the decades, leading to its end in 1707. Lan Xang was divided and the kingdoms of Luang Prabang and Vientiane emerged. In 1713 the Kingdom of Champasak emerged after a rebellion against Vientiane. Following the division, the situation only worsened for the successor states and they all remain easy pickings for the ever growing Siamese Empire. We must reunite Lan Xang and assert our independence once more!;;;;;;;;;;;;;x
khmur_unites_laos_title;The Khmu Ambitions;;;;;;;;;;;;;x
khmur_unites_laos_desc;With the Kingdom of Vientiane overthrown it is now our duty to liberate our fellow Katuic and Khmu brothers in the other Lao Kingdoms of Luang Prabang and Champassak. Should we able to unite the various Austroasiatic tribes under our leadership, we can solidify our position as the dominant force of Laos and by extension in all of Indochina.;;;;;;;;;;;;;x
khmur_claims_mekong_title;The Khmur Empire;;;;;;;;;;;;;x
khmur_claims_mekong_desc;With our state solidified and in control of all of Laos it is time to expand our boundraries further. The pity kingdom of Cambodia to our south is inhabited by our distant Khmer cousins, however, they have failed to protect our ancestral homeland from the Vietnamese and Thai invaders. We must take control of the Mekong Delta and integrate our Khmer brethren into our realm if we want to ensure the continuation of the Austroasiatics in Indochina.;;;;;;;;;;;;;x
laos_claims_mekong_title;Claim the Mekong Delta;;;;;;;;;;;;;x
laos_claims_mekong_desc;With Laos firmly under our control the pity kingdoms abolished, we are know effectively having control over the entire upper Mekong River. However, to our south the pathetic kingdom of cambodia still clinges on what is left of its old empire. The time has come to end the Khmer once and for all.;;;;;;;;;;;;;x
occupy_montferrat_title;Occupy Montferrat;;;;;;;;;;;;;x
occupy_montferrat_desc;The tyrannical rulers of our nation have been toppled, but our work is far from done: our peninsula is still divided in reactionary domains, which daily strangle the liberties of their subjects. One of these is the Duchy of Montferrat. While the inhabitants of this tiny state are not strong enough to depose their autocratic rulers, we are, and must use this strength to liberate them in our newly founded Second Ambrosian Republic!;;;;;;;;;;;;;x
claim_brittany_title;Hawlio Breizh;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_brittany_desc;Following the Anglo-Saxon invasion, many britons fled across the channel and into what would later become Brittany. The duchy would fall under French rule in the 16th century however, ending Breton independence. Seeing the French as occupiers, we can claim the area and present ourselves as liberators of our fellow countrymen across the channel and form a greater Brythonic Empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kaiserlich_und_königlich_title;Kaiserlich und Königlich;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kaiserlich_und_königlich_desc;We have firmly established ourselves over our various autonomous crown territories and are finally in a position to merge them all into a single Bohemian Empire. No longer shall we be subject to a foreign emperor!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
aromanian_schools_title;Establish Aromanian Schools;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
aromanian_schools_desc;Our fellow Aromanians are scattered across the balkans, living under the rule of foreign nations. However, there is a large concentration of them in Epirus. While many are iliterate and docile peasants, sending a proposal to the current government to establish local schools for them could lead to a rise of nationalism and with enough subversion, even lead to the creation of an Aromanian state. While these are still far-fetched dreams, establishing schools in the area might benefit both of them and us.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
dissolve_illyria_title;Dissolve Illyria;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
dissolve_illyria_desc;Bosnia is no longer part of our domain, thus limiting us to the historical region of Croatia and Slavonia. Should abolish the united kingdom and return to our Croatian roots.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
spread_illyrian_movement_title;Expand the Illyrian Movement;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
spread_illyrian_movement_desc;The Illyrian Movement arose in the early 19th century as a pan-South-Slavist cultural and political movement with the goal of uniting the various South Slavic peoples under a common "Illyrian" flag. While this movement greatly impacted the politics of Croatia and Bosnia, Serbia does reject these ideals, clinging to their old "Serbian" traditions. However, with the rising nationalism across europe it becomes clear that the unification of the Illyrians is merely a matter of time, especially if we encourage the movement abroad.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_serbocroatia_ill_title;Claim Serbocroatia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_serbocroatia_ill_desc;At last the Serbs have embraced the pan-South-Slavic Illyrian ideals. The Serbian government has shown its interest in a possible political unification - we should send a proposl that would immediately merge our both kingdoms under the Illyrian monarchy, giving us a legitimate claim to the entirety of the Serbian state.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_serbocroatia_ser_title;Claim Serbocroatia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_serbocroatia_ser_title;The Illyrian Kingdom under Croatian leadership has failed. They were unable to hold their country together, thus many assumed that a united South Slavic state would simply be unfeasable - But Serbia has not fallen yet. We shall pick up the torch left behind by the Illyrians and lead the South Slavs towards a new nation state, one that will finally unite all of us!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
avaria_claims_basin_title;The Avar Awakening;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
avaria_claims_basin_desc;Avaria, the land that stretches from the realm of the Germans to that of the Vlachs, from the mighty Danube in the south to the Carpathians in the north, has been subdued and divided ever since the Franks and Bulgars invaded our realm. Petty Kingdoms like Pannonia, Nytra and the Banate now occupy the lands that were once ruled by our Khanate. Humiliated and defeated, we faced centuries of foreign rule in our native Avarian lands. But we Avars have not forgotten our roots. The banner of the Khanate shall once more fly across the entire Pannonian basin, once more shall we be united under a single Khan. The rebirth of Avaria has begun!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
bohemian_language_title;The Linguistic Issue;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
bohemian_language_desc;The Bohemian Crown includes various territories that are rather diverse. While German is the sole official language and the language of the ruling and educated classes, the local Avaro-Czecho-Slovak or Slavenian language is spoken by the vast majority of the peasentry and eastern urban population who see it as the "true" language of the bohemian crown. The debate has escalated recently and now threatens to tear our very homeland apart if it remains unresolved.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
the_ussr_title;Form the Soviet Union;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
the_ussr_desc;The old regime is no more. The workers have prevailed and the Russian Soviet Federative Socialist Republic now firmly controls what is left of the old empire. However, we and many of our neighbors are severely weakened from the chaos that engulfed our lands. We must unite with our neighboring allies and sign a treaty of union that would unite all socialist countries into a single Soviet Union!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_mre_title;Integrate the Themes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_mre_desc;With the Imperial authority restored and the Ionian off-spring in morea being completely crushed, it becomes clear that our nation is in dire need of reform. Many in the royal court blame the excessive decentralization and autonomy of the themes for the current situation, proposing to radically reform it. By placing the themes under direct imperial rule, we might be able to better administrate our empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_gre_title;Federalize the Themes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_gre_desc;The Revolution was successful and greece is finally united - at least on paper. In reality, the themes still hold significant power and are largely independent. We should reform the theme system and reinforce the authority of the new parliament. By offering each theme a number of seats, we can eliminate the need for locally appointed rulers and fully democratize greece in one go.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
pikchunic_government_selection_title;On Our Own;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
pikchunic_government_selection_desc;The unbelievable has happened: The Spanish Crown is no more. The authority of the viceroy is no longer legitimate and without any signs of outside help it appears that we're fighting a hopeless war. The Colombians keep on advancing and our nation is on the brink of civil war. We must take drastic measures if we want to survive.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_alpenland_title;Proclaim the Alpland;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_alpenland_desc;As the Bavarian Empire declines, our power grows. With the Alpine nations de facto independent we should go forth and offer the others to join us in a federation of equals to strengthen our position and establish our independence from the rest of the HRE.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_kongsi_federation_title;The Kongsi Federation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_kongsi_federation_desc;The area of western borneo has been settled by Hakka and Yue miners for a few decades now. Due to the hardship and hostility of the area, the various communities formed the so-called Kongsi Republics that guaranteed mutual cooperation, decentralized authority and a democratic organization of the various mining cooperatives. With our new dominant position amongst the kongsi we can now unite the republics into a single federation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
cam_end_of_dark_age_title;End the Dark Age;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
cam_end_of_dark_age_desc;The old Khmer Empire saw a steady decline for many centuries, eventually leading to the Dark ages of Cambodia which roughly began in the 15th century. History saw us lose many of our historic territories to the invading Thai peoples as well as the Viet state of Da Nang. However, with our newly won strength the time has come to reclaim our lands and to re-emerge as a powerful empire. No longer shall the Khmer be subject to foreign empires!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_iraq_title;Reclaim Iraq;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_iraq_desc;Mesopotamia is often regarded as the birth cradle of civilization. It has always been a contested area between great empires, especially in recent history. With the fall of the Sassanid Empire, the entire Levant and Mashriq fell into Arab hands, only to be changed once the mongols invaded. However, with our newly won strength we can easily restore our historic claims to the region and begin the process of forming a great Iranian nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
constitutional_assembly_gco_title;The Caracas Congress;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
constitutional_assembly_gco_desc;7 months ago, a group of brave Colombian patriots gathered in Caracas, declaring the Republic of Colombia as a nation of all Latin americans in the new world. Since then we managed to form a large army of militias, ready to fight for their liberty and independence from the Spanish crown, following the example of the Central American partisans of 1831. Now that we are in a position of power, let the new congress sign the declaration of independence and make our nation truly official.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
smol_capital_of_gco_title;The Capital Question;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
smol_capital_of_gco_desc;The war is over and our nation stands free and equal amongst the others of the world. We should pick our capital to finalize the formation of our new nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
jamtland_treaty_title;Treaty of Copenhagen;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
jamtland_treaty_desc;The border between Denmark-Norway and Sweden has been fluid for centuries now with territories going back and forth every few decades. However, the current border has persisted for over a century now. Although both sides claim the land of the other, it remains largely static and signing a treaty that confirms it could boost our diplomatic relations with the united kingdom.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_referendum_nor_title;The Independence Referendum;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_referendum_nor_desc;Norway has been part of Denmark since 1537. This 300 year long period saw a steady increase of the wealth, stability and security of both Denmark and Norway. However, with the rise of liberal and nationalist sentiment across europe, many voices have started to advocate for the recreation of an independent Norwegian state. Holding a referendum on the matter could allow us to achieve our independence through legal means or alternatively reinforce the authority of the union, leading to long lasting stability.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_declaration_nor_title;Norwegian Independence;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_declaration_nor_desc;We have been under Danish rule for far too long. With our newly won strengt we must not accept the injustice imposed upon us by the Danish. The time has come for Norway to rise and reclaim its position on the international stage!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
become_denmark_title;Become Denmark;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
become_denmark_desc;The Union is no more. With the dissolution of Denmark-Norway, holding onto these titles is all but obsolete. We must acknowledge the reality of the situation and regain our respect in the international community.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_expansion_title;Expand the Confederacy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_expansion_desc;In 1822, the first Ainu-Japanese War led to the formation of the Ainu Confederacy, a coalition of local Ainu tribes meant to defend the independence of Ezo. The majority of Ainu joined the Confederacy by 1825, however, many tribes still remain independent and weak to foreign aggression. We should invite them into the Confederacy and expand our reach.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_ultimatum_title;The Ainu Ultimatum;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_ultimatum_desc;The Ainu Confederacy keeps expanding and only grows in strength with each passing day. The integration of Etorofu could very well only be the first step of the local tribes to start a general uprising in the north of Japan. As long as the tribes remain independent, the stability of the Emishi and all of Japan remains in danger. We should sent an ultimatum and demand the confederacy to join the Emishi or face the might of the Imperial Army.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_the_phoenix_title;Claim the Phoenix;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_the_phoenix_desc;The Territory of Phoenix, named after its largest settlement in the greater Mojave region, has been long disputed between Nouvelle France and Nueva España. French and Spanish settlers moved North into the territory for decades now, giving both sides an equal claim on the area. However, with our recent declaration of independence we have inherited the Spanish claim, thus we should act quickly and enforce our rule upon the Phoenix before the French do.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
treaty_of_lima_title;Treaty of Lima;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
treaty_of_lima_desc;We endured for long enough. The Colombians have to recognize our independence and right to exist as a nation. No longer shall they claim our Northern Territories under the so-called Kapuyan Republic. Glory to the Picchun!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kapuyan_war_title;The Kapuyan Republic;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kapuyan_war_desc;The Picchuni have made significant losses and their administration is collapsing. Without holding any major city, their claim to the Andes is all but hot air. We are now in a position to enforce the Kapuyan Republic upon the Picchuni.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
royalist_victory_title;Victory for the King!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
royalist_victory_desc;The Civil War has been going for too long - the people are tired of war and the colonies are in anarchy. We hold all major cities across Spain and the Republicans are defeated. It is time to restore order to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
republican_victory_title;Victory for the Republic!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
republican_victory_desc;The Civil War has been going for too long - the people are tired of war and the colonies are in anarchy. We hold all major cities across Spain and the Royalists are defeated. It is time to restore order to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
free_brazil_title;Liberate Brazil;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
